"Movie Title","Review","Score","Genres"
"collide_2017","'Despite the hammy charades from both Kingsley and Hopkins, 'Collide' has to contend with poor camera work, cheap-looking action scenes and bland characters'DVD Movie Review: CollideDate Viewed: June 8 2017Directed By Eran Creevy (Welcome to the Punch)Screenplay By F. Scott Frazier and Eran Creevy, Story By F. Scott FrazierStarring: Nicholas Hoult, Felicity Jones, Ben Kingsley, Anthony Hopkins, Marwan Kenzari, Clemens Schick, Erdal Yildiz, Michael Epp, Aleksandar Jovanovic and Markus Klauk.No multi-car pile up on the highway could possibly explain the absurdity of 'Collide'. It's an action-thriller that has two bland performances and two highly over-the-top performances. It's supposed to be an action movie about an American living in Germany who has to save the love of his life by doing one last job for his drug kingpin boss but 'Collide' seems more interested in car-crashing than telling a lively story.Nicholas Hoult stars as Casey Stein, an American who's now living in Germany so that he can evade from the law back home. Casey did some bad things at home and now he's trying to start a new life in Germany. After telling his employer and drug smuggler, Geran (Ben Kingsley) he wants out, Casey starts to take control of his life until he meets another American at a nightclub. Her name is Juliette Marne (Felicity Jones) and they immediately fall for each other. Suddenly, Juliette faints to the ground and when she and Casey arrive at the hospital, the doctors inform Juliette that one of her kidneys has failed.Juliette needs a transplant immediately but she's not qualified to get one because she's not a citizen of Germany. This sad and terrible situation leaves Casey with no choice. He must return to his employer and ask for a job in order to secure the $250,000 he needs to go back to America and get Juliette the transplant she needs despite the fact that Casey is still a wanted man.Geran wants Casey to steal a precious cargo of cocaine-filled golf balls from another big drug kingpin but this one is more ruthless than him. This drug dealer and mob boss happens to be Hagen Kahl (Anthony Hopkins), Geran wanted to be partners with Hagen but he turned him down which left Geran angry and furious and now he seeks payback time. When the heist goes terribly wrong, Casey gets kidnapped by Hagen but he miraculously escapes and the movie turns into a low-rent 'Fast & Furious' rip-off. Casey's actions get repeated over and over again throughout, Casey steals a car, Casey crashes the car, Casey miraculously escapes from either Hagen's henchmen or the German authorities, he steals another car, he crashes another car, he miraculously escapes from the bad guys, he steals another car and yeah, you get the idea. Casey's dumb actions seem to the formula for this movie and it's annoying as F$&@!While he crashed Hagen's car, Casey manages to find $5 million in the automobile and he takes all of it and Hagen not only plans on getting the money back, he also desires in finding Casey's girlfriend. Fearing for Juliette's safety, Casey calls Geran to protect her from Hagen and his thugs before they can get to her. Nicholas Hoult is really bad here as Casey because he just makes one dumb decision after another and Felicity Jones is totally miscast as Casey's girlfriend who desperately needs a kidney transplant.As for Kingsley and Hopkins, their performances reach tremendous levels of awkward and hilarity. Kingsley's character not only has a bad Turkish accent, he really loves the 1985 John Travolta/Jamie Lee Curtis film 'Perfect' which was deemed so horribly bad by many film critics and he even thinks that Travolta should've won an Oscar for it and he also has a strange obsession for Burt Reynolds. Oh wait! there's more, Hopkins even does an impression of Sylvester Stallone. It's hard to fathom or believe that a knighted Oscar-winner would do an impression of him. I'll admit that it is fascinating to watch and I had a good laugh but this is the kind of zany impressions Hopkins can do on 'The Tonight Show with Jimmy Fallon'.The screenplay by director Eran Creevy (Welcome to the Punch) and F. Scott Frazier (XXX: Return of Xander Cage) is filled with plot holes, not so colorful dialogue and the action is just an exhausting cycle of wham and bam. Despite the hammy charades from both Kingsley and Hopkins, 'Collide' has to contend with poor camera work, cheap-looking action scenes and bland characters.","10","Mystery & Suspense, Action & Adventure"
"collide_2017","Collide dialogue is really cliche and tests my patience at times, but the action does keep you entertained. I would recommend this film more as a rental then something you go see at a theater.","20","Mystery & Suspense, Action & Adventure"
"collide_2017","Very good intense thrilling and spectacular movie.","30","Mystery & Suspense, Action & Adventure"
"collide_2017","Collide is deceptively good. Everything about it screams 'stay away' and 'generic.' And to an extent it is generic. None of its pieces yield any sort of base creativity, but all put together in just the right mixture the movie far and away exceeds expectations with a perfectly balanced assault of characterization, car chases, gun play, and intensity. It's never hyper real, and it's never gritty real. It's just a good, adrenaline-fueled movie that won't go down in the history books but that really nails that sweet spot for charged, contemporary action.","35","Mystery & Suspense, Action & Adventure"
"collide_2017","This was a great action movie ever! I loved this movie a lot because it's action sequences are great and the whole movie is phenomenal! It's a must see! You don't want to miss one of the greatest action movies of all time!","50","Mystery & Suspense, Action & Adventure"
"collide_2017","Um ex-bandido americano vai para a Europa e abandona o crime por amor, porém acaba retornando ao crime para conseguir dinheiro para bancar a operação de sua namorada... nessa confusão acaba sendo preso roubando de um dos maiores criminosos e tem que fugir até cansar, e no final faz uma delação premiada e entrega geral...","45","Mystery & Suspense, Action & Adventure"
"collide_2017","Quick money always ends in a big trouble!It's one of those films with aimless narration. Indeed, it has a nice cast and characters with the basic storyline, but that did not expand and explored well as it should have been. At least the pace of the narration looked fine. Some characters looked unnecessary, and so a couple of scenes. If these all were managed, then still it could have been a decent film. Because since it is an action- adventure, they did not generate those crucial parts like the stunts and dialogues related to the gangster thing to turn it a better film in its kind.The two veteran actors coming together for the first time added more curiosity than flavour we are looking for. They did okay and so the rest of the cast. Ideal runtime, a few stuffs were in the favour of the film, but those were not enough for the overall success. If the same film was made from the non-English world like perhaps Germany, which was one of the producers of the film would have done better than this existing one which is very familiar with this language.People would watch it only for Hopkins and Kingley and so did am I. But they might end in disappointment, or that could be the reason to rate it fairly better. Whatever, this is an okay film, which is barely entertaining and of all, not a boring film. So trying it for one is okay, but I think not worth if you have got plenty of options over this one.6/10","30","Mystery & Suspense, Action & Adventure"
"collide_2017","Big cast little interest, 15 mins binned","05","Mystery & Suspense, Action & Adventure"
"collide_2017","Collide is a by-the-book action thriller with the typical car chases, gunfire, and stolen cash. Nicholas Hault is the lesser of two great actors in this film starring alongside Ben Kingsley and Anthony Hopkins, perhaps that one reason why his acting felt too cheesy at times.","20","Mystery & Suspense, Action & Adventure"
"collide_2017","l am not their heavily me it just hard l can stop this, there are few cast and l don't get it, then simply help him find the money then get in cars recusced girlfriend who just kidnapped from medical hositpal after he love her what getting back.","20","Mystery & Suspense, Action & Adventure"
